Time;Shear Stress;Strain;Creep Compliance;Torque
[s];[Pa];[1];[1/Pa];[µNm]
0,5;0,03;0,0094;0,313;0,734
1,03;0,03;0,0156;0,52;0,734
1,6;0,03;0,0198;0,661;0,734
2,2;0,03;0,0239;0,797;0,734
2,84;0,03;0,0277;0,922;0,734
3,52;0,03;0,0312;1,04;0,734
4,24;0,03;0,0346;1,15;0,734
5;0,03;0,0379;1,26;0,734
5,82;0,03;0,0412;1,37;0,734
6,69;0,03;0,0444;1,48;0,734
7,61;0,03;0,0476;1,59;0,734
8,59;0,03;0,0508;1,69;0,734
9,63;0,03;0,054;1,8;0,734
10,7;0,03;0,0572;1,91;0,734
11,9;0,03;0,0604;2,01;0,734
13,2;0,03;0,0638;2,13;0,734
14,5;0,03;0,067;2,23;0,734
15,9;0,03;0,0704;2,35;0,734
17,4;0,03;0,0737;2,46;0,734
19;0,03;0,0771;2,57;0,734
20,7;0,03;0,0805;2,68;0,734
22,5;0,03;0,084;2,8;0,734
24,4;0,03;0,0876;2,92;0,734
26,5;0,03;0,0912;3,04;0,734
28,6;0,03;0,0948;3,16;0,734
30,9;0,03;0,0985;3,28;0,734
33,4;0,03;0,102;3,41;0,734
36;0,03;0,106;3,54;0,734
38,8;0,03;0,11;3,67;0,734
41,7;0,03;0,114;3,8;0,734
44,8;0,03;0,118;3,94;0,734
48,2;0,03;0,122;4,08;0,734
51,7;0,03;0,127;4,22;0,734
55,5;0,03;0,131;4,37;0,734
59,5;0,03;0,135;4,51;0,734
63,7;0,03;0,14;4,66;0,734
68,2;0,03;0,145;4,82;0,734
73;0,03;0,149;4,98;0,734
78,1;0,03;0,154;5,13;0,734
83,6;0,03;0,159;5,3;0,734
89,3;0,03;0,164;5,47;0,734
95,5;0,03;0,169;5,64;0,734
102;0,03;0,174;5,81;0,734
109;0,03;0,18;5,99;0,734
116;0,03;0,185;6,18;0,734
124;0,03;0,191;6,37;0,734
132;0,03;0,197;6,57;0,734
141;0,03;0,203;6,77;0,734
151;0,03;0,209;6,97;0,734
161;0,03;0,215;7,18;0,734
161;0;0,206;0;0
162;0;0,199;0;0
162;0;0,195;0;0
163;0;0,191;0;0
164;0;0,187;0;0
164;0;0,184;0;0
165;0;0,18;0;0
166;0;0,177;0;0
167;0;0,174;0;0
167;0;0,171;0;0
168;0;0,168;0;0
169;0;0,165;0;0
170;0;0,162;0;0
171;0;0,159;0;0
173;0;0,156;0;0
174;0;0,154;0;0
175;0;0,151;0;0
177;0;0,148;0;0
178;0;0,145;0;0
180;0;0,142;0;0
181;0;0,139;0;0
183;0;0,136;0;0
185;0;0,133;0;0
187;0;0,13;0;0
189;0;0,127;0;0
192;0;0,125;0;0
194;0;0,122;0;0
197;0;0,119;0;0
199;0;0,116;0;0
202;0;0,113;0;0
206;0;0,11;0;0
209;0;0,107;0;0
212;0;0,104;0;0
216;0;0,101;0;0
220;0;0,0976;0;0
224;0;0,0945;0;0
229;0;0,0915;0;0
234;0;0,0884;0;0
239;0;0,0854;0;0
244;0;0,0823;0;0
250;0;0,0792;0;0
256;0;0,0763;0;0
263;0;0,0732;0;0
270;0;0,0702;0;0
277;0;0,0672;0;0
285;0;0,0642;0;0
293;0;0,0611;0;0
302;0;0,0579;0;0
311;0;0,0549;0;0
321;0;0,0518;0;0
