1,100,3.58E+01,1.73E+01,0.482,3.97E-01,4.00E-01,9.71E+00
2,63.1,3.56E+01,1.45E+01,0.407,6.10E-01,4.01E-01,9.42E+00
3,39.8,3.35E+01,1.25E+01,0.374,8.97E-01,4.00E-01,8.72E+00
4,25.1,3.14E+01,1.09E+01,0.346,1.32E+00,4.00E-01,8.13E+00
5,15.8,2.91E+01,9.63E+00,0.33,1.94E+00,4.00E-01,7.51E+00
6,10,2.69E+01,8.64E+00,0.321,2.83E+00,4.00E-01,6.91E+00
7,6.31,2.48E+01,7.84E+00,0.316,4.12E+00,4.00E-01,6.36E+00
8,3.98,2.28E+01,7.18E+00,0.315,6.01E+00,4.00E-01,5.85E+00
9,2.51,2.10E+01,6.62E+00,0.316,8.76E+00,4.00E-01,5.38E+00
10,1.58,1.93E+01,6.14E+00,0.318,1.28E+01,4.00E-01,4.95E+00
11,1,1.77E+01,5.73E+00,0.323,1.86E+01,4.00E-01,4.56E+00
12,0.631,1.63E+01,5.37E+00,0.33,2.72E+01,4.00E-01,4.19E+00
13,0.398,1.49E+01,5.05E+00,0.338,3.96E+01,4.00E-01,3.86E+00
14,0.251,1.37E+01,4.76E+00,0.346,5.79E+01,4.00E-01,3.56E+00
